,loss,accuracy,val_loss,val_accuracy
0,0.9559618830680847,0.7635787129402161,0.8344056010246277,0.6977446675300598
1,0.5840100646018982,0.8219443559646606,0.7728144526481628,0.6832460761070251
2,0.4338620901107788,0.852307140827179,0.7145775556564331,0.681333065032959
3,0.37524884939193726,0.8692145347595215,0.6966378092765808,0.6700564026832581
4,0.3439922034740448,0.885945737361908,0.6822755932807922,0.6902940273284912
5,0.3124251067638397,0.8973230123519897,0.8127440214157104,0.692106306552887
6,0.292498379945755,0.9076435565948486,0.8050063252449036,0.640757143497467
7,0.2745513319969177,0.9133497476577759,0.8778414726257324,0.685461163520813
8,0.25770288705825806,0.9239873290061951,0.9094752669334412,0.6742851138114929
9,0.23794689774513245,0.9334977269172668,0.9822295308113098,0.6504228711128235
10,0.22484207153320312,0.9377949833869934,0.8533070683479309,0.6686468124389648
11,0.21383629739284515,0.941986620426178,0.9938298463821411,0.6523358821868896
12,0.20065559446811676,0.9470940232276917,0.9567242860794067,0.6691502332687378
13,0.1883901208639145,0.9531525373458862,1.146966576576233,0.6800241470336914
14,0.17764854431152344,0.9563578963279724,1.1505976915359497,0.6829439997673035
15,0.1713298112154007,0.9603029489517212,1.091772437095642,0.638542115688324
16,0.16460706293582916,0.9620993137359619,1.0852316617965698,0.6500201225280762
17,0.16126485168933868,0.9628742337226868,1.0345364809036255,0.6782118678092957
18,0.1495102494955063,0.9674885272979736,1.219053864479065,0.6954289078712463
19,0.14223463833332062,0.970482587814331,1.104511022567749,0.6619009375572205
